Date,Object,X_AU,Y_AU,Z_AU,VX_AU_per_day,VY_AU_per_day,VZ_AU_per_day
A.D. 2025-Jul-01 00:00:00.0000,3I/ATLAS,0.274840361,-4.495951725,0.289138247,-0.013848633826,0.032530370070,-0.001469837435
A.D. 2025-Jul-01 06:00:00.0000,3I/ATLAS,0.271378175,-4.487818680,0.288770759,-0.013848854371,0.032533992434,-0.001470070551
A.D. 2025-Jul-01 12:00:00.0000,3I/ATLAS,0.267915934,-4.479684727,0.288403212,-0.013849073335,0.032537628364,-0.001470304666
A.D. 2025-Jul-01 18:00:00.0000,3I/ATLAS,0.264453638,-4.471549864,0.288035606,-0.013849290696,0.032541277936,-0.001470539787
A.D. 2025-Jul-02 00:00:00.0000,3I/ATLAS,0.260991288,-4.463414087,0.287667942,-0.013849506430,0.032544941221,-0.001470775918
A.D. 2025-Jul-02 06:00:00.0000,3I/ATLAS,0.257528885,-4.455277393,0.287300218,-0.013849720514,0.032548618295,-0.001471013068
A.D. 2025-Jul-02 12:00:00.0000,3I/ATLAS,0.254066428,-4.447139777,0.286932435,-0.013849932927,0.032552309231,-0.001471251241
A.D. 2025-Jul-02 18:00:00.0000,3I/ATLAS,0.250603919,-4.439001237,0.286564593,-0.013850143643,0.032556014105,-0.001471490444
A.D. 2025-Jul-03 00:00:00.0000,3I/ATLAS,0.247141357,-4.430861769,0.286196690,-0.013850352639,0.032559732992,-0.001471730683
A.D. 2025-Jul-03 06:00:00.0000,3I/ATLAS,0.243678743,-4.422721369,0.285828727,-0.013850559892,0.032563465969,-0.001471971965
A.D. 2025-Jul-03 12:00:00.0000,3I/ATLAS,0.240216077,-4.414580035,0.285460704,-0.013850765377,0.032567213111,-0.001472214297
A.D. 2025-Jul-03 18:00:00.0000,3I/ATLAS,0.236753360,-4.406437762,0.285092620,-0.013850969068,0.032570974497,-0.001472457684
A.D. 2025-Jul-04 00:00:00.0000,3I/ATLAS,0.233290593,-4.398294546,0.284724475,-0.013851170942,0.032574750203,-0.001472702134
